Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
27-03-2013,2013,1,3,27,20130327,March,Mar 2013,Q1 2013,2,Wednesday,31-Mar-13,13,20130300,20130100,13,FY13
28-03-2013,2013,1,3,28,20130328,March,Mar 2013,Q1 2013,3,Thursday,31-Mar-13,13,20130300,20130100,13,FY13
29-03-2013,2013,1,3,29,20130329,March,Mar 2013,Q1 2013,4,Friday,31-Mar-13,13,20130300,20130100,13,FY13
30-03-2013,2013,1,3,30,20130330,March,Mar 2013,Q1 2013,5,Saturday,31-Mar-13,13,20130300,20130100,13,FY13
31-03-2013,2013,1,3,31,20130331,March,Mar 2013,Q1 2013,6,Sunday,31-Mar-13,13,20130300,20130100,13,FY13
01-10-2013,2013,4,10,1,20131001,October,Oct 2013,Q4 2013,1,Tuesday,06-Oct-13,40,20131000,20130400,13,FY14
02-10-2013,2013,4,10,2,20131002,October,Oct 2013,Q4 2013,2,Wednesday,06-Oct-13,40,20131000,20130400,13,FY14
03-10-2013,2013,4,10,3,20131003,October,Oct 2013,Q4 2013,3,Thursday,06-Oct-13,40,20131000,20130400,13,FY14
04-10-2013,2013,4,10,4,20131004,October,Oct 2013,Q4 2013,4,Friday,06-Oct-13,40,20131000,20130400,13,FY14
05-10-2013,2013,4,10,5,20131005,October,Oct 2013,Q4 2013,5,Saturday,06-Oct-13,40,20131000,20130400,13,FY14
06-10-2013,2013,4,10,6,20131006,October,Oct 2013,Q4 2013,6,Sunday,06-Oct-13,40,20131000,20130400,13,FY14
07-10-2013,2013,4,10,7,20131007,October,Oct 2013,Q4 2013,0,Monday,13-Oct-13,41,20131000,20130400,13,FY14
08-10-2013,2013,4,10,8,20131008,October,Oct 2013,Q4 2013,1,Tuesday,13-Oct-13,41,20131000,20130400,13,FY14
09-10-2013,2013,4,10,9,20131009,October,Oct 2013,Q4 2013,2,Wednesday,13-Oct-13,41,20131000,20130400,13,FY14
10-10-2013,2013,4,10,10,20131010,October,Oct 2013,Q4 2013,3,Thursday,13-Oct-13,41,20131000,20130400,13,FY14
11-10-2013,2013,4,10,11,20131011,October,Oct 2013,Q4 2013,4,Friday,13-Oct-13,41,20131000,20130400,13,FY14
12-10-2013,2013,4,10,12,20131012,October,Oct 2013,Q4 2013,5,Saturday,13-Oct-13,41,20131000,20130400,13,FY14
13-10-2013,2013,4,10,13,20131013,October,Oct 2013,Q4 2013,6,Sunday,13-Oct-13,41,20131000,20130400,13,FY14
14-10-2013,2013,4,10,14,20131014,October,Oct 2013,Q4 2013,0,Monday,20-Oct-13,42,20131000,20130400,13,FY14
15-10-2013,2013,4,10,15,20131015,October,Oct 2013,Q4 2013,1,Tuesday,20-Oct-13,42,20131000,20130400,13,FY14
16-10-2013,2013,4,10,16,20131016,October,Oct 2013,Q4 2013,2,Wednesday,20-Oct-13,42,20131000,20130400,13,FY14
17-10-2013,2013,4,10,17,20131017,October,Oct 2013,Q4 2013,3,Thursday,20-Oct-13,42,20131000,20130400,13,FY14
18-10-2013,2013,4,10,18,20131018,October,Oct 2013,Q4 2013,4,Friday,20-Oct-13,42,20131000,20130400,13,FY14
19-10-2013,2013,4,10,19,20131019,October,Oct 2013,Q4 2013,5,Saturday,20-Oct-13,42,20131000,20130400,13,FY14
20-10-2013,2013,4,10,20,20131020,October,Oct 2013,Q4 2013,6,Sunday,20-Oct-13,42,20131000,20130400,13,FY14
21-10-2013,2013,4,10,21,20131021,October,Oct 2013,Q4 2013,0,Monday,27-Oct-13,43,20131000,20130400,13,FY14
22-10-2013,2013,4,10,22,20131022,October,Oct 2013,Q4 2013,1,Tuesday,27-Oct-13,43,20131000,20130400,13,FY14
23-10-2013,2013,4,10,23,20131023,October,Oct 2013,Q4 2013,2,Wednesday,27-Oct-13,43,20131000,20130400,13,FY14
24-10-2013,2013,4,10,24,20131024,October,Oct 2013,Q4 2013,3,Thursday,27-Oct-13,43,20131000,20130400,13,FY14
25-10-2013,2013,4,10,25,20131025,October,Oct 2013,Q4 2013,4,Friday,27-Oct-13,43,20131000,20130400,13,FY14
26-10-2013,2013,4,10,26,20131026,October,Oct 2013,Q4 2013,5,Saturday,27-Oct-13,43,20131000,20130400,13,FY14
27-10-2013,2013,4,10,27,20131027,October,Oct 2013,Q4 2013,6,Sunday,27-Oct-13,43,20131000,20130400,13,FY14
28-10-2013,2013,4,10,28,20131028,October,Oct 2013,Q4 2013,0,Monday,03-Nov-13,44,20131000,20130400,13,FY14
29-10-2013,2013,4,10,29,20131029,October,Oct 2013,Q4 2013,1,Tuesday,03-Nov-13,44,20131000,20130400,13,FY14
30-10-2013,2013,4,10,30,20131030,October,Oct 2013,Q4 2013,2,Wednesday,03-Nov-13,44,20131000,20130400,13,FY14
31-10-2013,2013,4,10,31,20131031,October,Oct 2013,Q4 2013,3,Thursday,03-Nov-13,44,20131000,20130400,13,FY14
01-11-2013,2013,4,11,1,20131101,November,Nov 2013,Q4 2013,4,Friday,03-Nov-13,44,20131100,20130400,13,FY14
02-11-2013,2013,4,11,2,20131102,November,Nov 2013,Q4 2013,5,Saturday,03-Nov-13,44,20131100,20130400,13,FY14
03-11-2013,2013,4,11,3,20131103,November,Nov 2013,Q4 2013,6,Sunday,03-Nov-13,44,20131100,20130400,13,FY14
04-11-2013,2013,4,11,4,20131104,November,Nov 2013,Q4 2013,0,Monday,10-Nov-13,45,20131100,20130400,13,FY14
05-11-2013,2013,4,11,5,20131105,November,Nov 2013,Q4 2013,1,Tuesday,10-Nov-13,45,20131100,20130400,13,FY14
06-11-2013,2013,4,11,6,20131106,November,Nov 2013,Q4 2013,2,Wednesday,10-Nov-13,45,20131100,20130400,13,FY14
07-11-2013,2013,4,11,7,20131107,November,Nov 2013,Q4 2013,3,Thursday,10-Nov-13,45,20131100,20130400,13,FY14
08-11-2013,2013,4,11,8,20131108,November,Nov 2013,Q4 2013,4,Friday,10-Nov-13,45,20131100,20130400,13,FY14
09-11-2013,2013,4,11,9,20131109,November,Nov 2013,Q4 2013,5,Saturday,10-Nov-13,45,20131100,20130400,13,FY14
10-11-2013,2013,4,11,10,20131110,November,Nov 2013,Q4 2013,6,Sunday,10-Nov-13,45,20131100,20130400,13,FY14
11-11-2013,2013,4,11,11,20131111,November,Nov 2013,Q4 2013,0,Monday,17-Nov-13,46,20131100,20130400,13,FY14
12-11-2013,2013,4,11,12,20131112,November,Nov 2013,Q4 2013,1,Tuesday,17-Nov-13,46,20131100,20130400,13,FY14
13-11-2013,2013,4,11,13,20131113,November,Nov 2013,Q4 2013,2,Wednesday,17-Nov-13,46,20131100,20130400,13,FY14
14-11-2013,2013,4,11,14,20131114,November,Nov 2013,Q4 2013,3,Thursday,17-Nov-13,46,20131100,20130400,13,FY14
15-11-2013,2013,4,11,15,20131115,November,Nov 2013,Q4 2013,4,Friday,17-Nov-13,46,20131100,20130400,13,FY14
16-11-2013,2013,4,11,16,20131116,November,Nov 2013,Q4 2013,5,Saturday,17-Nov-13,46,20131100,20130400,13,FY14
17-11-2013,2013,4,11,17,20131117,November,Nov 2013,Q4 2013,6,Sunday,17-Nov-13,46,20131100,20130400,13,FY14
18-11-2013,2013,4,11,18,20131118,November,Nov 2013,Q4 2013,0,Monday,24-Nov-13,47,20131100,20130400,13,FY14
19-11-2013,2013,4,11,19,20131119,November,Nov 2013,Q4 2013,1,Tuesday,24-Nov-13,47,20131100,20130400,13,FY14
20-11-2013,2013,4,11,20,20131120,November,Nov 2013,Q4 2013,2,Wednesday,24-Nov-13,47,20131100,20130400,13,FY14
21-11-2013,2013,4,11,21,20131121,November,Nov 2013,Q4 2013,3,Thursday,24-Nov-13,47,20131100,20130400,13,FY14
22-11-2013,2013,4,11,22,20131122,November,Nov 2013,Q4 2013,4,Friday,24-Nov-13,47,20131100,20130400,13,FY14
23-11-2013,2013,4,11,23,20131123,November,Nov 2013,Q4 2013,5,Saturday,24-Nov-13,47,20131100,20130400,13,FY14
24-11-2013,2013,4,11,24,20131124,November,Nov 2013,Q4 2013,6,Sunday,24-Nov-13,47,20131100,20130400,13,FY14
25-11-2013,2013,4,11,25,20131125,November,Nov 2013,Q4 2013,0,Monday,01-Dec-13,48,20131100,20130400,13,FY14
26-11-2013,2013,4,11,26,20131126,November,Nov 2013,Q4 2013,1,Tuesday,01-Dec-13,48,20131100,20130400,13,FY14
27-11-2013,2013,4,11,27,20131127,November,Nov 2013,Q4 2013,2,Wednesday,01-Dec-13,48,20131100,20130400,13,FY14
28-11-2013,2013,4,11,28,20131128,November,Nov 2013,Q4 2013,3,Thursday,01-Dec-13,48,20131100,20130400,13,FY14
29-11-2013,2013,4,11,29,20131129,November,Nov 2013,Q4 2013,4,Friday,01-Dec-13,48,20131100,20130400,13,FY14
30-11-2013,2013,4,11,30,20131130,November,Nov 2013,Q4 2013,5,Saturday,01-Dec-13,48,20131100,20130400,13,FY14
01-12-2013,2013,4,12,1,20131201,December,Dec 2013,Q4 2013,6,Sunday,01-Dec-13,48,20131200,20130400,13,FY14
02-12-2013,2013,4,12,2,20131202,December,Dec 2013,Q4 2013,0,Monday,08-Dec-13,49,20131200,20130400,13,FY14
03-12-2013,2013,4,12,3,20131203,December,Dec 2013,Q4 2013,1,Tuesday,08-Dec-13,49,20131200,20130400,13,FY14
04-12-2013,2013,4,12,4,20131204,December,Dec 2013,Q4 2013,2,Wednesday,08-Dec-13,49,20131200,20130400,13,FY14
05-12-2013,2013,4,12,5,20131205,December,Dec 2013,Q4 2013,3,Thursday,08-Dec-13,49,20131200,20130400,13,FY14
06-12-2013,2013,4,12,6,20131206,December,Dec 2013,Q4 2013,4,Friday,08-Dec-13,49,20131200,20130400,13,FY14
07-12-2013,2013,4,12,7,20131207,December,Dec 2013,Q4 2013,5,Saturday,08-Dec-13,49,20131200,20130400,13,FY14
08-12-2013,2013,4,12,8,20131208,December,Dec 2013,Q4 2013,6,Sunday,08-Dec-13,49,20131200,20130400,13,FY14
09-12-2013,2013,4,12,9,20131209,December,Dec 2013,Q4 2013,0,Monday,15-Dec-13,50,20131200,20130400,13,FY14
10-12-2013,2013,4,12,10,20131210,December,Dec 2013,Q4 2013,1,Tuesday,15-Dec-13,50,20131200,20130400,13,FY14
11-12-2013,2013,4,12,11,20131211,December,Dec 2013,Q4 2013,2,Wednesday,15-Dec-13,50,20131200,20130400,13,FY14
12-12-2013,2013,4,12,12,20131212,December,Dec 2013,Q4 2013,3,Thursday,15-Dec-13,50,20131200,20130400,13,FY14
13-12-2013,2013,4,12,13,20131213,December,Dec 2013,Q4 2013,4,Friday,15-Dec-13,50,20131200,20130400,13,FY14
14-12-2013,2013,4,12,14,20131214,December,Dec 2013,Q4 2013,5,Saturday,15-Dec-13,50,20131200,20130400,13,FY14
15-12-2013,2013,4,12,15,20131215,December,Dec 2013,Q4 2013,6,Sunday,15-Dec-13,50,20131200,20130400,13,FY14
16-12-2013,2013,4,12,16,20131216,December,Dec 2013,Q4 2013,0,Monday,22-Dec-13,51,20131200,20130400,13,FY14
17-12-2013,2013,4,12,17,20131217,December,Dec 2013,Q4 2013,1,Tuesday,22-Dec-13,51,20131200,20130400,13,FY14
18-12-2013,2013,4,12,18,20131218,December,Dec 2013,Q4 2013,2,Wednesday,22-Dec-13,51,20131200,20130400,13,FY14
19-12-2013,2013,4,12,19,20131219,December,Dec 2013,Q4 2013,3,Thursday,22-Dec-13,51,20131200,20130400,13,FY14
20-12-2013,2013,4,12,20,20131220,December,Dec 2013,Q4 2013,4,Friday,22-Dec-13,51,20131200,20130400,13,FY14
21-12-2013,2013,4,12,21,20131221,December,Dec 2013,Q4 2013,5,Saturday,22-Dec-13,51,20131200,20130400,13,FY14
22-12-2013,2013,4,12,22,20131222,December,Dec 2013,Q4 2013,6,Sunday,22-Dec-13,51,20131200,20130400,13,FY14
23-12-2013,2013,4,12,23,20131223,December,Dec 2013,Q4 2013,0,Monday,29-Dec-13,52,20131200,20130400,13,FY14
24-12-2013,2013,4,12,24,20131224,December,Dec 2013,Q4 2013,1,Tuesday,29-Dec-13,52,20131200,20130400,13,FY14
25-12-2013,2013,4,12,25,20131225,December,Dec 2013,Q4 2013,2,Wednesday,29-Dec-13,52,20131200,20130400,13,FY14
26-12-2013,2013,4,12,26,20131226,December,Dec 2013,Q4 2013,3,Thursday,29-Dec-13,52,20131200,20130400,13,FY14
27-12-2013,2013,4,12,27,20131227,December,Dec 2013,Q4 2013,4,Friday,29-Dec-13,52,20131200,20130400,13,FY14
28-12-2013,2013,4,12,28,20131228,December,Dec 2013,Q4 2013,5,Saturday,29-Dec-13,52,20131200,20130400,13,FY14
29-12-2013,2013,4,12,29,20131229,December,Dec 2013,Q4 2013,6,Sunday,29-Dec-13,52,20131200,20130400,13,FY14
30-12-2013,2013,4,12,30,20131230,December,Dec 2013,Q4 2013,0,Monday,05-Jan-14,53,20131200,20130400,13,FY14
31-12-2013,2013,4,12,31,20131231,December,Dec 2013,Q4 2013,1,Tuesday,05-Jan-14,53,20131200,20130400,13,FY14
01-04-2013,2013,2,4,1,20130401,April,Apr 2013,Q2 2013,0,Monday,07-Apr-13,14,20130400,20130200,13,FY14
02-04-2013,2013,2,4,2,20130402,April,Apr 2013,Q2 2013,1,Tuesday,07-Apr-13,14,20130400,20130200,13,FY14
03-04-2013,2013,2,4,3,20130403,April,Apr 2013,Q2 2013,2,Wednesday,07-Apr-13,14,20130400,20130200,13,FY14
04-04-2013,2013,2,4,4,20130404,April,Apr 2013,Q2 2013,3,Thursday,07-Apr-13,14,20130400,20130200,13,FY14
05-04-2013,2013,2,4,5,20130405,April,Apr 2013,Q2 2013,4,Friday,07-Apr-13,14,20130400,20130200,13,FY14
06-04-2013,2013,2,4,6,20130406,April,Apr 2013,Q2 2013,5,Saturday,07-Apr-13,14,20130400,20130200,13,FY14
07-04-2013,2013,2,4,7,20130407,April,Apr 2013,Q2 2013,6,Sunday,07-Apr-13,14,20130400,20130200,13,FY14
08-04-2013,2013,2,4,8,20130408,April,Apr 2013,Q2 2013,0,Monday,14-Apr-13,15,20130400,20130200,13,FY14
09-04-2013,2013,2,4,9,20130409,April,Apr 2013,Q2 2013,1,Tuesday,14-Apr-13,15,20130400,20130200,13,FY14
10-04-2013,2013,2,4,10,20130410,April,Apr 2013,Q2 2013,2,Wednesday,14-Apr-13,15,20130400,20130200,13,FY14
11-04-2013,2013,2,4,11,20130411,April,Apr 2013,Q2 2013,3,Thursday,14-Apr-13,15,20130400,20130200,13,FY14
12-04-2013,2013,2,4,12,20130412,April,Apr 2013,Q2 2013,4,Friday,14-Apr-13,15,20130400,20130200,13,FY14
13-04-2013,2013,2,4,13,20130413,April,Apr 2013,Q2 2013,5,Saturday,14-Apr-13,15,20130400,20130200,13,FY14
14-04-2013,2013,2,4,14,20130414,April,Apr 2013,Q2 2013,6,Sunday,14-Apr-13,15,20130400,20130200,13,FY14
15-04-2013,2013,2,4,15,20130415,April,Apr 2013,Q2 2013,0,Monday,21-Apr-13,16,20130400,20130200,13,FY14
16-04-2013,2013,2,4,16,20130416,April,Apr 2013,Q2 2013,1,Tuesday,21-Apr-13,16,20130400,20130200,13,FY14
17-04-2013,2013,2,4,17,20130417,April,Apr 2013,Q2 2013,2,Wednesday,21-Apr-13,16,20130400,20130200,13,FY14
18-04-2013,2013,2,4,18,20130418,April,Apr 2013,Q2 2013,3,Thursday,21-Apr-13,16,20130400,20130200,13,FY14
19-04-2013,2013,2,4,19,20130419,April,Apr 2013,Q2 2013,4,Friday,21-Apr-13,16,20130400,20130200,13,FY14
20-04-2013,2013,2,4,20,20130420,April,Apr 2013,Q2 2013,5,Saturday,21-Apr-13,16,20130400,20130200,13,FY14
21-04-2013,2013,2,4,21,20130421,April,Apr 2013,Q2 2013,6,Sunday,21-Apr-13,16,20130400,20130200,13,FY14
22-04-2013,2013,2,4,22,20130422,April,Apr 2013,Q2 2013,0,Monday,28-Apr-13,17,20130400,20130200,13,FY14
23-04-2013,2013,2,4,23,20130423,April,Apr 2013,Q2 2013,1,Tuesday,28-Apr-13,17,20130400,20130200,13,FY14
24-04-2013,2013,2,4,24,20130424,April,Apr 2013,Q2 2013,2,Wednesday,28-Apr-13,17,20130400,20130200,13,FY14
25-04-2013,2013,2,4,25,20130425,April,Apr 2013,Q2 2013,3,Thursday,28-Apr-13,17,20130400,20130200,13,FY14
26-04-2013,2013,2,4,26,20130426,April,Apr 2013,Q2 2013,4,Friday,28-Apr-13,17,20130400,20130200,13,FY14
27-04-2013,2013,2,4,27,20130427,April,Apr 2013,Q2 2013,5,Saturday,28-Apr-13,17,20130400,20130200,13,FY14
28-04-2013,2013,2,4,28,20130428,April,Apr 2013,Q2 2013,6,Sunday,28-Apr-13,17,20130400,20130200,13,FY14
29-04-2013,2013,2,4,29,20130429,April,Apr 2013,Q2 2013,0,Monday,05-May-13,18,20130400,20130200,13,FY14
30-04-2013,2013,2,4,30,20130430,April,Apr 2013,Q2 2013,1,Tuesday,05-May-13,18,20130400,20130200,13,FY14
01-05-2013,2013,2,5,1,20130501,May,May 2013,Q2 2013,2,Wednesday,05-May-13,18,20130500,20130200,13,FY14
02-05-2013,2013,2,5,2,20130502,May,May 2013,Q2 2013,3,Thursday,05-May-13,18,20130500,20130200,13,FY14
03-05-2013,2013,2,5,3,20130503,May,May 2013,Q2 2013,4,Friday,05-May-13,18,20130500,20130200,13,FY14
04-05-2013,2013,2,5,4,20130504,May,May 2013,Q2 2013,5,Saturday,05-May-13,18,20130500,20130200,13,FY14
05-05-2013,2013,2,5,5,20130505,May,May 2013,Q2 2013,6,Sunday,05-May-13,18,20130500,20130200,13,FY14
06-05-2013,2013,2,5,6,20130506,May,May 2013,Q2 2013,0,Monday,12-May-13,19,20130500,20130200,13,FY14
07-05-2013,2013,2,5,7,20130507,May,May 2013,Q2 2013,1,Tuesday,12-May-13,19,20130500,20130200,13,FY14
08-05-2013,2013,2,5,8,20130508,May,May 2013,Q2 2013,2,Wednesday,12-May-13,19,20130500,20130200,13,FY14
09-05-2013,2013,2,5,9,20130509,May,May 2013,Q2 2013,3,Thursday,12-May-13,19,20130500,20130200,13,FY14
10-05-2013,2013,2,5,10,20130510,May,May 2013,Q2 2013,4,Friday,12-May-13,19,20130500,20130200,13,FY14
11-05-2013,2013,2,5,11,20130511,May,May 2013,Q2 2013,5,Saturday,12-May-13,19,20130500,20130200,13,FY14
12-05-2013,2013,2,5,12,20130512,May,May 2013,Q2 2013,6,Sunday,12-May-13,19,20130500,20130200,13,FY14
13-05-2013,2013,2,5,13,20130513,May,May 2013,Q2 2013,0,Monday,19-May-13,20,20130500,20130200,13,FY14
14-05-2013,2013,2,5,14,20130514,May,May 2013,Q2 2013,1,Tuesday,19-May-13,20,20130500,20130200,13,FY14
15-05-2013,2013,2,5,15,20130515,May,May 2013,Q2 2013,2,Wednesday,19-May-13,20,20130500,20130200,13,FY14
16-05-2013,2013,2,5,16,20130516,May,May 2013,Q2 2013,3,Thursday,19-May-13,20,20130500,20130200,13,FY14
17-05-2013,2013,2,5,17,20130517,May,May 2013,Q2 2013,4,Friday,19-May-13,20,20130500,20130200,13,FY14
18-05-2013,2013,2,5,18,20130518,May,May 2013,Q2 2013,5,Saturday,19-May-13,20,20130500,20130200,13,FY14
19-05-2013,2013,2,5,19,20130519,May,May 2013,Q2 2013,6,Sunday,19-May-13,20,20130500,20130200,13,FY14
20-05-2013,2013,2,5,20,20130520,May,May 2013,Q2 2013,0,Monday,26-May-13,21,20130500,20130200,13,FY14
21-05-2013,2013,2,5,21,20130521,May,May 2013,Q2 2013,1,Tuesday,26-May-13,21,20130500,20130200,13,FY14
22-05-2013,2013,2,5,22,20130522,May,May 2013,Q2 2013,2,Wednesday,26-May-13,21,20130500,20130200,13,FY14
23-05-2013,2013,2,5,23,20130523,May,May 2013,Q2 2013,3,Thursday,26-May-13,21,20130500,20130200,13,FY14
24-05-2013,2013,2,5,24,20130524,May,May 2013,Q2 2013,4,Friday,26-May-13,21,20130500,20130200,13,FY14
25-05-2013,2013,2,5,25,20130525,May,May 2013,Q2 2013,5,Saturday,26-May-13,21,20130500,20130200,13,FY14
26-05-2013,2013,2,5,26,20130526,May,May 2013,Q2 2013,6,Sunday,26-May-13,21,20130500,20130200,13,FY14
27-05-2013,2013,2,5,27,20130527,May,May 2013,Q2 2013,0,Monday,02-Jun-13,22,20130500,20130200,13,FY14
28-05-2013,2013,2,5,28,20130528,May,May 2013,Q2 2013,1,Tuesday,02-Jun-13,22,20130500,20130200,13,FY14
29-05-2013,2013,2,5,29,20130529,May,May 2013,Q2 2013,2,Wednesday,02-Jun-13,22,20130500,20130200,13,FY14
30-05-2013,2013,2,5,30,20130530,May,May 2013,Q2 2013,3,Thursday,02-Jun-13,22,20130500,20130200,13,FY14
31-05-2013,2013,2,5,31,20130531,May,May 2013,Q2 2013,4,Friday,02-Jun-13,22,20130500,20130200,13,FY14
01-06-2013,2013,2,6,1,20130601,June,Jun 2013,Q2 2013,5,Saturday,02-Jun-13,22,20130600,20130200,13,FY14
02-06-2013,2013,2,6,2,20130602,June,Jun 2013,Q2 2013,6,Sunday,02-Jun-13,22,20130600,20130200,13,FY14
03-06-2013,2013,2,6,3,20130603,June,Jun 2013,Q2 2013,0,Monday,09-Jun-13,23,20130600,20130200,13,FY14
04-06-2013,2013,2,6,4,20130604,June,Jun 2013,Q2 2013,1,Tuesday,09-Jun-13,23,20130600,20130200,13,FY14
05-06-2013,2013,2,6,5,20130605,June,Jun 2013,Q2 2013,2,Wednesday,09-Jun-13,23,20130600,20130200,13,FY14
06-06-2013,2013,2,6,6,20130606,June,Jun 2013,Q2 2013,3,Thursday,09-Jun-13,23,20130600,20130200,13,FY14
07-06-2013,2013,2,6,7,20130607,June,Jun 2013,Q2 2013,4,Friday,09-Jun-13,23,20130600,20130200,13,FY14
08-06-2013,2013,2,6,8,20130608,June,Jun 2013,Q2 2013,5,Saturday,09-Jun-13,23,20130600,20130200,13,FY14
09-06-2013,2013,2,6,9,20130609,June,Jun 2013,Q2 2013,6,Sunday,09-Jun-13,23,20130600,20130200,13,FY14
10-06-2013,2013,2,6,10,20130610,June,Jun 2013,Q2 2013,0,Monday,16-Jun-13,24,20130600,20130200,13,FY14
11-06-2013,2013,2,6,11,20130611,June,Jun 2013,Q2 2013,1,Tuesday,16-Jun-13,24,20130600,20130200,13,FY14
12-06-2013,2013,2,6,12,20130612,June,Jun 2013,Q2 2013,2,Wednesday,16-Jun-13,24,20130600,20130200,13,FY14
13-06-2013,2013,2,6,13,20130613,June,Jun 2013,Q2 2013,3,Thursday,16-Jun-13,24,20130600,20130200,13,FY14
14-06-2013,2013,2,6,14,20130614,June,Jun 2013,Q2 2013,4,Friday,16-Jun-13,24,20130600,20130200,13,FY14
15-06-2013,2013,2,6,15,20130615,June,Jun 2013,Q2 2013,5,Saturday,16-Jun-13,24,20130600,20130200,13,FY14
16-06-2013,2013,2,6,16,20130616,June,Jun 2013,Q2 2013,6,Sunday,16-Jun-13,24,20130600,20130200,13,FY14
17-06-2013,2013,2,6,17,20130617,June,Jun 2013,Q2 2013,0,Monday,23-Jun-13,25,20130600,20130200,13,FY14
18-06-2013,2013,2,6,18,20130618,June,Jun 2013,Q2 2013,1,Tuesday,23-Jun-13,25,20130600,20130200,13,FY14
19-06-2013,2013,2,6,19,20130619,June,Jun 2013,Q2 2013,2,Wednesday,23-Jun-13,25,20130600,20130200,13,FY14
20-06-2013,2013,2,6,20,20130620,June,Jun 2013,Q2 2013,3,Thursday,23-Jun-13,25,20130600,20130200,13,FY14
21-06-2013,2013,2,6,21,20130621,June,Jun 2013,Q2 2013,4,Friday,23-Jun-13,25,20130600,20130200,13,FY14
22-06-2013,2013,2,6,22,20130622,June,Jun 2013,Q2 2013,5,Saturday,23-Jun-13,25,20130600,20130200,13,FY14
23-06-2013,2013,2,6,23,20130623,June,Jun 2013,Q2 2013,6,Sunday,23-Jun-13,25,20130600,20130200,13,FY14
24-06-2013,2013,2,6,24,20130624,June,Jun 2013,Q2 2013,0,Monday,30-Jun-13,26,20130600,20130200,13,FY14
25-06-2013,2013,2,6,25,20130625,June,Jun 2013,Q2 2013,1,Tuesday,30-Jun-13,26,20130600,20130200,13,FY14
26-06-2013,2013,2,6,26,20130626,June,Jun 2013,Q2 2013,2,Wednesday,30-Jun-13,26,20130600,20130200,13,FY14
27-06-2013,2013,2,6,27,20130627,June,Jun 2013,Q2 2013,3,Thursday,30-Jun-13,26,20130600,20130200,13,FY14
28-06-2013,2013,2,6,28,20130628,June,Jun 2013,Q2 2013,4,Friday,30-Jun-13,26,20130600,20130200,13,FY14
29-06-2013,2013,2,6,29,20130629,June,Jun 2013,Q2 2013,5,Saturday,30-Jun-13,26,20130600,20130200,13,FY14
30-06-2013,2013,2,6,30,20130630,June,Jun 2013,Q2 2013,6,Sunday,30-Jun-13,26,20130600,20130200,13,FY14
01-07-2013,2013,3,7,1,20130701,July,Jul 2013,Q3 2013,0,Monday,07-Jul-13,27,20130700,20130300,13,FY14
02-07-2013,2013,3,7,2,20130702,July,Jul 2013,Q3 2013,1,Tuesday,07-Jul-13,27,20130700,20130300,13,FY14
03-07-2013,2013,3,7,3,20130703,July,Jul 2013,Q3 2013,2,Wednesday,07-Jul-13,27,20130700,20130300,13,FY14
04-07-2013,2013,3,7,4,20130704,July,Jul 2013,Q3 2013,3,Thursday,07-Jul-13,27,20130700,20130300,13,FY14
05-07-2013,2013,3,7,5,20130705,July,Jul 2013,Q3 2013,4,Friday,07-Jul-13,27,20130700,20130300,13,FY14
06-07-2013,2013,3,7,6,20130706,July,Jul 2013,Q3 2013,5,Saturday,07-Jul-13,27,20130700,20130300,13,FY14
07-07-2013,2013,3,7,7,20130707,July,Jul 2013,Q3 2013,6,Sunday,07-Jul-13,27,20130700,20130300,13,FY14
08-07-2013,2013,3,7,8,20130708,July,Jul 2013,Q3 2013,0,Monday,14-Jul-13,28,20130700,20130300,13,FY14
09-07-2013,2013,3,7,9,20130709,July,Jul 2013,Q3 2013,1,Tuesday,14-Jul-13,28,20130700,20130300,13,FY14
10-07-2013,2013,3,7,10,20130710,July,Jul 2013,Q3 2013,2,Wednesday,14-Jul-13,28,20130700,20130300,13,FY14
11-07-2013,2013,3,7,11,20130711,July,Jul 2013,Q3 2013,3,Thursday,14-Jul-13,28,20130700,20130300,13,FY14
12-07-2013,2013,3,7,12,20130712,July,Jul 2013,Q3 2013,4,Friday,14-Jul-13,28,20130700,20130300,13,FY14
13-07-2013,2013,3,7,13,20130713,July,Jul 2013,Q3 2013,5,Saturday,14-Jul-13,28,20130700,20130300,13,FY14
14-07-2013,2013,3,7,14,20130714,July,Jul 2013,Q3 2013,6,Sunday,14-Jul-13,28,20130700,20130300,13,FY14
15-07-2013,2013,3,7,15,20130715,July,Jul 2013,Q3 2013,0,Monday,21-Jul-13,29,20130700,20130300,13,FY14
16-07-2013,2013,3,7,16,20130716,July,Jul 2013,Q3 2013,1,Tuesday,21-Jul-13,29,20130700,20130300,13,FY14
17-07-2013,2013,3,7,17,20130717,July,Jul 2013,Q3 2013,2,Wednesday,21-Jul-13,29,20130700,20130300,13,FY14
18-07-2013,2013,3,7,18,20130718,July,Jul 2013,Q3 2013,3,Thursday,21-Jul-13,29,20130700,20130300,13,FY14
19-07-2013,2013,3,7,19,20130719,July,Jul 2013,Q3 2013,4,Friday,21-Jul-13,29,20130700,20130300,13,FY14
20-07-2013,2013,3,7,20,20130720,July,Jul 2013,Q3 2013,5,Saturday,21-Jul-13,29,20130700,20130300,13,FY14
21-07-2013,2013,3,7,21,20130721,July,Jul 2013,Q3 2013,6,Sunday,21-Jul-13,29,20130700,20130300,13,FY14
